"SESSIONE","VERSIONE_MAPPING","ETA","SESSO_M_F","CITTA_RESIDENZA","OCCUPAZIONE","TITOLO_STUDIO","ASCOLTATORE_ABITUALE_SI_NO","DEVICE_FRUIZIONE","CONTESTO","GENERI","DATI_PERCEPITO_1","DATI_PERCEPITO_2","DATI_PERCEPITO_3","DATI_PERCEPITO_4","DATI_PERCEPITO_5","DATI_PERCEPITO_6","DATI_PERCEPITO_7","DATI_PERCEPITO_8","DATI_PERCEPITO_9","DATI_PERCEPITO_10","NUM_CORRISPONDENZE_1_7","SUGGERIMENTI_NEBBIA","SUGGERIMENTI_PIOGGIA","SUGGERIMENTI_PIOGGERELLA","SUGGERIMENTI_SERENO_SOLEGGIATO","SUGGERIMENTI_NUVOLOSO","SUGGERIMENTI_TEMPORALE","SUGGERIMENTI_URAGANO_NUBIFRAGIO","SUGGERIMENTI_NEVE","EFFICACIA","TIPO_DATO_SUGGERITO","INCURIOSITO","COMMENTO_LIBERO"
"HACKLAB111219","V1",65,"M","Milano","Quasi Pensionato","Superiori","SI","CD","Auto: Allenamento","Tutti","Alba: Sereno","Soleggiato Caldo","Tramonto Sereno","Sereno","Pioggia","Leggera Nebbia","Buio cittadino",,,,,"Nebbia : Rock(Patty Smith)"," Pioggia : Rock(Dylan)"," Pioggerella : Jazz"," Sereno/Soleggiato : Caraibica/Brasiliana"," Nuvoloso : Blues"," Temporale : Rock(Hendrix)"," Uragano/Nubifragio : Classica(Beethoven)"," Neve : Classica (Einaudi)",1,"News",3,"Piu specificita sulla musica: in part. Tempo/canzoni di uno specifico autore."
"HACKLAB111219","V1",36,"M","Bresso","Impiegato","Superiori","SI","Radio: Vinile","Casa: Lavoro: Passeggiando","Rock","Sereno","Uragano","Nevischio","Caldo","Pioggia","Nebbia","Neve",,,,,"Nebbia : Classica"," Pioggia : Pop"," Pioggerella : Blues"," Sereno/Soleggiato : Caraibica GIALLO"," Nuvoloso : Jazz"," Temporale : Rock"," Uragano/Nubifragio : Heavy metal"," Neve : Natalizia",3,,2,"usare canzoni conosciute con ritmi distinti:  colori modulati/pulsanti"
"HACKLAB111219","V1",40,"M","Lainate","Bancario","Laurea","SI","Radio","Casa: Passeggiando","Tutti","Sereno","Uragano","Nuvoloso","Pioggerella","Temporale: Nebbia","Pioggia","Neve",,,,,"Nebbia : GRIGIO"," Pioggia : BLU"," Pioggerella : AZZURRO"," Sereno/Soleggiato : GIALLO"," Nuvoloso : -"," Temporale : NERO"," Uragano/Nubifragio : NERO CON LAMPI"," Neve : BIANCO",3,"Comandi vocali per indovinare l umore(??)",2,"ascensore:  sveglia"
"HACKLAB111219","V1",50,"M","Rho","Bancario","Superiori","SI","Radio: Webradio: App streaming","Auto: Mezzi: Passeggiando","Tutti","Sereno","Uragano: Temporale","Nuvoloso: Pioggerella","Sereno","Tempesta","Nuvoloso: Pioggerella","Neve",,,,,"Nebbia : Groove Jazz Fusion"," Pioggia : -"," Pioggerella : - "," Sereno/Soleggiato : Pop Rock"," Nuvoloso : -"," Temporale : -"," Uragano/Nubifragio : Metal"," Neve : -",3,"News: situazioni ambientali: dati di tutti i tipi convertibili in emozioni",4,"sfruttare tonalita: ritmo: tempo e i modi al posto dei generi; la luce ritmata sarebbe d aiuto"
"HACKLAB111219","V1",54,"M","Cusano Milanino","Operaio","Superiori","SI","CD","Casa: Lavoro: Auto: Altro-musicista","Tutti","Uragano","Nuvoloso","Soleggiato","Pioggia","-","Nuvoloso","Soleggiato",,,,,"Nebbia : Rock"," Pioggia : Blues"," Pioggerella : Rock"," Sereno/Soleggiato : Soul"," Nuvoloso : Metal"," Temporale : Pop"," Uragano/Nubifragio : Classica"," Neve : Sinfonica",2,,3,"(ci fa i complimenti)"
"HACKLAB111219","V1",46,"M","Rho","Impiegato","Superiori","SI","Radio: CD: MP3","Casa: Auto: Allenamento","Pop-Rock","Sereno","Temporale","Pioggerella","Neve","Uragano","Nuvoloso","Pioggia",,,,,"Nebbia : Fusion"," Pioggia : Jazz"," Pioggerella : Classica archi"," Sereno/Soleggiato : pop"," Nuvoloso : Classica pianoforte"," Temporale : Rock"," Uragano/Nubifragio : Metal"," Neve : Caraibica",1,,1,"va tenuto conto della tonalita"
"HACKLAB111219","V1",55,"M","Milano","Impiegato","Superiori","SI","Radio: MP3","Casa: Auto","Musica leggera","Sereno","Temporale","Nuvoloso","Sereno","Uragano","Pioggerella","Neve",,,,,"Nebbia : Blues - GRIGIO"," Pioggia : Rock - BLU"," Pioggerella : Popolare - ARANCIONE"," Sereno/Soleggiato : Samba - GIALLO"," Nuvoloso : Melodica - Rosso"," Temporale : Hard Rock - VIOLA"," Uragano/Nubifragio : Metal - NERO"," Neve : Natale   BIANCO",2,,2,
"HACKLAB111219","V1",65,"M","Milano","Disoccupato","Superiori","NO",,,,"Sereno","Vento","Pioggerella","Sereno","Pioggia forte","Fine pioggia(?)","Sereno",,,,,"Nebbia : ROSSO"," Pioggia : ARANCIONE"," Pioggerella : ARANCIONE"," Sereno/Soleggiato : VERDE"," Nuvoloso : -"," Temporale : Classica - BLU"," Uragano/Nubifragio : Classica - BLU"," Neve : VIOLA",2,,3,
"LABPROG121219","V1",19,"M","Milano","Studente","Superiori","SI","App streaming","Casa: Mezzi: Bagno: Letto: Passeggiando",,"Sereno: Ventoso: Fresco","Temporale","Sereno: Vento: Caldo","Soleggiato Caldo","Nuvoloso: Nubifragio","Nebbia","Neve",,,,,"Nebbia : Lofi: ambient - VIOLA"," Pioggia : Post rock: post punk - BLU"," Pioggerella : jazz - VERDE"," Sereno/Soleggiato : Pop: rock - ARANCIONE"," Nuvoloso : GRIGIO"," Temporale : MEtal - Giallo"," Uragano/Nubifragio : Metal estremo - NERO"," Neve : Classica   BIANCO",2,"umore: meteo combinato a posizione stagione e orario",3,"playlist specifiche e con pi  variabili da considerare"
"LABPROG121219","V1",21,"F","Milano","Studente","Superiori","SI","Radio: MP3","Casa: Mezzi: Auto: Letto: Passeggiando","Tutti","Vento","Pioggia","Soleggiato Caldo","Sereno","Pioggia","Neve","Neve",,,,,"Nebbia : Rap - BIANCO"," Pioggia : rock - azzurro"," Pioggerella : jazz - azzurro"," Sereno/Soleggiato : Pop italiano - ARANCIONE"," Nuvoloso : GRIGIO"," Temporale : power MEtal - NERO"," Uragano/Nubifragio : Classica potente - BLU"," Neve :  BIANCO",2,,2,
