TITOLO,NOME_FILE,ABSTRACT_E_NOTE,VISTA,TATTO,OLFATTO,UDITO,GUSTO,INTERATTIVITÀ_0_2,TIPO_DI_DATO,Dato_DINAMICO_o_STATICO,CASO_D_USO
Embedded Personal Physicalizations,2018_VIS_workshop_embeddedPersonalPhysicalizations,--> NULLA è un paper su una ridotta state of the art,,,,,,,,,
Visualization and 3D Printing of Multivariate Data of Biomarkers,A43_full,Uso di U-Matrix e self-organizing map(SOM → reti neurali)  per fisicalizzare dei landscape topografici con una stampa 3d,1,1,0,0,0,0,"reti neurali, dati statistici(high dimensional data)",STATICO,studi universitari/vario
Data-Objects: Re-Designing Everyday Objects as Tactile Affective Interfaces,ACII2015_submission_54,"Data-Objects introduces the idea of re-designing physical objects that a person uses every day to act as tactile affective interfaces. Hanno preso i dati sulla frequenza d’uso di smartphone, mouse e il consumo di caffè, e hanno stampato cover, mouse3d e sleeve per la tazza con sopra ognuna di esse 7 linee(d/w) divise in 24 blocchetti(h/d)  ognuno più o meno alto a seconda del consumo.",1,1,0,0,0,0,uso quotidiano di determinati oggetti,STATICO,vita quotidiana
A Survey of Pervasive Displays for Information Presentation,,"--> NULLA ,paper che tratta dell'analisi di 3 tipi di display: traditional 2D display media, urban media facades, and novel display hardware. E trova cinque tendenze trasversali che sono emerse dalla letteratura rilevata: un'enfasi crescente su situness, in crescita accessibilità e una base di utenti più ampia, supporto per l'interazione, nuove aree applicative e sfide nella gestione dell'attenzione dell'utente",,,,,,,,,
The use of solid physical models for the study of macromolecular assembly,BAIL98,"(1998, vecchiotto) primordiale modello di fisicalizzazione di strutture molecolari tramite delle prime stampanti 3d ",1,1,0,0,0,0,Strutture molecolari,STATICO,studi universitari/vario
"A Baby’s First Year In Data, As A Blanket",baby_link_phys,"Le ore di sonno di un bambino sono stati rimappati su una coperta, Grazie ad un’app che usavano i genitori per monitorare il suo sonno , sono riusciti ad esportare il mapping in formato JSON e tramutare quei dati nella coperta",1,1,0,0,0,0,ore di sonno,STATICO,vita quotidiana
Be the Data: A New Approach for Immersive Analytics,be_the_data_IA_final,obiettivo:facilitare la comprensione dei dati utilizzati frequentemente per l’analisi dati. Usano dei caschi con sopra dei sensori per il motion capture e fanno muovere le persone(bambini più che altro) In una stanza(che ovviamente sopra ha una telecamera per analizzare il movimento dei sensori). In tempo reale i partecipanti possono vedere su un grande schermo il dato che ognuno di loro rappresenta (loro portano l’esempio degli animali) e a seconda di come si muovono si vedono dei plot in real time che fanno vedere i vari rapporti che possono esistere tra le varie proprietà degli animali nel dataset ,1,1,0,1,0,2,dataset su animali a livello istruttivo,STATICO,istruzione/intrattenimento
"“It’s like holding a human heart’’: the design of Vital + Morph, a shape-changing interface for remote monitoring",Boem_Iwata_AISociety_2017,Physicalization di dati clinici. Superficie interattiva per la connessione remota e awareness di dati clinici: permette di sentire i segni di vita di una persona ricoverata tramite shape-change. → tipo un cuore che pulsa,1,1,0,1,0,1,dati clinici,DINAMICO,vita quotidiana
Can Physical Visualizations Support Analytical Tasks?,,"hanno fatto dei pannelli in plexiglass sovrapponibili , ognuno rappresentante vari valori statistici per n paesi, e un pannello rappresentava i dati di un anno specifico. Così tu spostando i pannelli puoi confrontare a occhio, le osservazioni di vari dati di diversi anni, in modo abbastanza intuitivo.",1,1,0,0,0,0,dataset su consumi energetici,STATICO,istruzione/intrattenimento
The Object Inside: Assessing 3D Examination with a Spherical Handheld Perspective-Corrected Display,CHI17_Berard_HPCD,Uso di un Handheld Perspective Corrected Displays (HPCDs). È una sfera tangibile che dà l’ impressione di avere in mano l’oggetto 3d passato via wireless al sistema. La sfera ha sensori motion capture che permettono di fargli proiettare sopra il modello e farlo girare in “real time” Sarà attorno ai 60fps. Video: https://www.youtube.com/watch?v=zSW-hok8B-A,1,1,0,0,0,1,modelli 3d,STATICO,istruzione/intrattenimento
Comparing Bar Chart Authoring with Microsoft Excel and Tangible tiles_paper,,"Cercare di creare barchart tangibili tramite l’uso di piastrelle colorate. Hanno studiato vari aspetti e fatto un caso di test , mettendo a paragone lo stesso studio di dataset, fatto contemporaneamente tra una persona con Excel e l’altra con le piastrelle. ",1,1,0,0,0,0,dataset generici,STATICO,istruzione/intrattenimento
